ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.90234375,-1.4296875,70.5,-149.5,140.5,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
1.9453125,0.884765625,-1.4248046875,67.75,-149.125,139.75,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,90.75,-143.5,164.5,0.0
-1.48828125,1.091796875,-1.8603515625,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.478515625,1.107421875,-1.859375,91.75,-144.0,165.0,0.0
-1.46875,1.12109375,-1.8583984375,93.0,-144.25,165.75,0.0
-1.46875,1.12109375,-1.8583984375,93.0,-144.25,165.75,0.0
-1.6826171875,0.583984375,-1.638671875,-137.5,184.5,-158.75,0.0
-1.6826171875,0.583984375,-1.638671875,-137.5,184.5,-158.75,0.0
-1.6826171875,0.583984375,-1.638671875,-137.5,184.5,-158.75,0.0
-1.6826171875,0.583984375,-1.638671875,-137.5,184.5,-158.75,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.677734375,0.57421875,-1.65625,-127.0,180.0,-153.875,0.0
-1.67578125,0.5703125,-1.68359375,-116.375,175.5,-149.25,0.0
-1.67578125,0.5703125,-1.68359375,-116.375,175.5,-149.25,0.0
-1.67578125,0.5703125,-1.68359375,-116.375,175.5,-149.25,0.0
-1.67578125,0.5703125,-1.68359375,-116.375,175.5,-149.25,0.0
-1.67578125,0.5703125,-1.68359375,-116.375,175.5,-149.25,0.0
-1.67578125,0.5703125,-1.68359375,-116.375,175.5,-149.25,0.0
1.900390625,0.423828125,1.287109375,0.0,0.0,-163.25,0.0
1.900390625,0.423828125,1.287109375,0.0,0.0,-163.25,0.0
1.900390625,0.423828125,1.287109375,0.0,0.0,-163.25,0.0
1.900390625,0.423828125,1.287109375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-159.75,0.0
1.90625,0.4609375,1.3359375,0.0,0.0,-156.5,0.0
1.916015625,0.50390625,1.37890625,0.0,0.0,-156.5,0.0
1.916015625,0.50390625,1.37890625,0.0,0.0,-156.5,0.0
1.916015625,0.50390625,1.37890625,0.0,0.0,-156.5,0.0
1.916015625,0.50390625,1.37890625,0.0,0.0,-156.5,0.0
1.916015625,0.50390625,1.37890625,0.0,0.0,-156.5,0.0
1.916015625,0.50390625,1.37890625,0.0,0.0,-156.5,0.0
-1.640625,1.33203125,-1.390625,-193.75,246.0,-243.125,0.0
-1.640625,1.33203125,-1.390625,-193.75,246.0,-243.125,0.0
-1.640625,1.33203125,-1.390625,-193.75,246.0,-243.125,0.0
-1.640625,1.33203125,-1.390625,-193.75,246.0,-243.125,0.0
