ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,197.0,-173.75,236.75,0.0
-1.333984375,1.31640625,-1.615234375,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.3408203125,1.318359375,-1.61328125,196.5,-174.5,236.25,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.564453125,1.314453125,-1.6337890625,238.0,-225.625,-204.0,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,239.5,-226.25,-201.375,0.0
-1.5703125,1.314453125,-1.6396484375,241.25,-227.25,-198.875,0.0
-1.5791015625,1.31640625,-1.6435546875,241.25,-227.25,-198.875,0.0
-1.5791015625,1.31640625,-1.6435546875,241.25,-227.25,-198.875,0.0
-1.5791015625,1.31640625,-1.6435546875,241.25,-227.25,-198.875,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.90625,1.001953125,-1.49609375,-240.375,178.0,-105.25,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.0,175.5,-107.125,0.0
-1.9169921875,0.984375,-1.5029296875,-241.25,172.25,-109.625,0.0
-1.9296875,0.966796875,-1.5,-241.25,172.25,-109.625,0.0
-1.9296875,0.966796875,-1.5,-241.25,172.25,-109.625,0.0
-1.9296875,0.966796875,-1.5,-241.25,172.25,-109.625,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-61.75,33.25,-207.125,0.0
1.986328125,0.48828125,-1.9736328125,-58.625,30.5,-208.375,0.0
-1.9951171875,0.50390625,1.990234375,-58.625,30.5,-208.375,0.0
-1.9951171875,0.50390625,1.990234375,-58.625,30.5,-208.375,0.0
-1.9951171875,0.50390625,1.990234375,-58.625,30.5,-208.375,0.0
