,ACCX_25,ACCX_50,ACCX_75,ACCY_25,ACCY_50,ACCY_75,ACCZ_25,ACCZ_50,ACCZ_75,GYRX_25,GYRX_50,GYRX_75,GYRY_25,GYRY_50,GYRY_75,GYRZ_25,GYRZ_50,GYRZ_75,label
35,1.0205078125,1.4228515625,1.779296875,0.93115234375,1.0849609375,1.24560546875,-1.86328125,1.54296875,1.857421875,-225.5,-200.25,232.5,-119.65625,-81.875,80.625,-197.8125,21.3125,177.6875,0.0
36,-1.583984375,1.494140625,1.853515625,0.896484375,1.001953125,1.1220703125,1.419921875,1.6015625,1.8076171875,-182.59375,-62.5,175.375,-28.15625,0.0,25.25,-229.125,-137.1875,230.25,1.0
37,-1.8095703125,-1.4375,1.81640625,0.861328125,1.04296875,1.15625,1.591796875,1.759765625,1.921875,-187.875,94.5,194.5,-101.75,26.5,98.75,-237.375,-176.0,219.25,1.0
38,-1.330078125,-1.138671875,1.54296875,0.912109375,1.513671875,1.734375,-1.1796875,-1.037109375,1.333984375,-217.4375,-174.0,-23.625,-151.5,-57.5,121.0,-237.5,-178.75,172.125,2.0
39,-1.701171875,-1.45703125,-1.25,0.939453125,1.15234375,1.396484375,-1.5205078125,1.076171875,1.8984375,-103.625,24.5,174.75,-170.25,54.0,211.0,-203.5,149.5,231.5,0.0
40,-1.330078125,-1.189453125,-1.079833984375,-1.8916015625,-1.62255859375,1.859375,-1.404296875,-1.294921875,-0.9453125,-196.75,171.25,213.625,-224.84375,-202.0,-186.125,-215.59375,198.625,226.8125,2.0
41,-1.59765625,-1.57763671875,-1.568359375,-1.4609375,-1.45361328125,-1.427734375,1.236328125,1.2421875,1.25390625,-245.875,247.0,248.25,-247.375,-245.0,-237.625,-247.5,-236.375,248.5,3.0
42,-1.73046875,-1.61962890625,-1.396240234375,1.00390625,1.494140625,1.626953125,-1.130859375,-0.87939453125,0.9921875,-168.40625,-135.5,127.3125,-154.09375,-29.5625,162.4375,-190.375,10.0,176.75,2.0
43,-1.40771484375,-1.07177734375,-1.00390625,-1.7314453125,1.6953125,1.79296875,-1.4912109375,-1.26171875,-0.955810546875,-212.15625,-1.59375,190.5,-224.25,-215.375,-157.5625,-227.875,150.75,232.4375,2.0
44,-1.2333984375,-1.107421875,-1.000244140625,-1.6201171875,1.669921875,1.85595703125,-1.62548828125,-1.36376953125,-1.031982421875,-158.1875,184.0,212.8125,-212.875,-182.5,157.5,-227.53125,29.25,225.0,2.0
45,-1.54296875,-1.18603515625,-0.953857421875,1.359375,1.640625,1.8359375,-1.343994140625,-1.04833984375,1.2373046875,-222.0,-146.9375,170.5625,-205.5625,-130.75,22.625,-150.90625,162.25,223.625,2.0
